Id,Name,Distance
ivanbor38," Ivan N. ",0
d1ms,D S.,1
ddk91,Dmitriy D.,1
Paralyzer45,Oleg N.,1
ivanbor38,Ivan N.,0
philphil92,Philipp F.,2
ivanbor38,Ivan N.,0
Ub1k,Ivan S.,2
Paralyzer45,Oleg N.,1
ivanbor38,Ivan N.,0
ddk91,Dmitriy D.,1
ddk91,Dmitriy D.,1
ddk91,Dmitriy D.,1
Id,Name,Distance
rusmike," Mike D. ",0
ask729,stas a.,1
Mattts,Mats J.,1
rusmike,Mike D.,0
Caspar,Caspar R.,2
Terrence,Terry R.,2
erikekman,Erik E.,2
tellmebeer,Cihan ,2
Stenbratt,Carl S.,2
dasA,das A.,2
beerhunter60,Marcel V.,2
cgiffordmiears,Chris G.,2
tedsamuelsson,Ted S.,2
KBW_CBL,Kim Brian ,2
tikiwartooth,Jordan R.,2
wakashan,Kash ,2
Red_lily,Colleen G.,2
justinbeer,Justin G.,2
amebuttons,Ame B.,2
kylehay2004,Kyle H.,2
Dennoman,Denno M.,2
PMgep,Stefan A.,2
lucasballek,Lucas B.,2
ausproBIERer,Pascal G.,2
Gotterhaltz,J T.,2
ThreeFx,Ben F.,2
larshoffbeck,Lars H.,2
fgalkin,Yefim G.,2
tomthetank,Thomas S.,2
meitschi,Salome B.,3
zwissmiss,Dylan L.,3
Mattts,Mats J.,1
philippZH,Philipp R.,3
SwissmissP,Katie P.,3
JunoJ,Rebecca J.,3
huntforperfection,Audun Langevei H.,3
paulmaceoin,Paul M.,3
rlutz87,Richard L.,3
Mattts,Mats J.,1
MisterWigglesworth,Pete J.,3
mkwan,Michael K.,3
Chammon,Cori H.,3
zwissmiss,Dylan L.,3
Stenbratt,Carl S.,2
Mattts,Mats J.,1
aequanox,Fabio ,3
sidewalksafari,Dr J ,3
dsvensson,Daniel ,3
hmoens,Hendrik M.,3
vhermecz,Vajk H.,3
Cinnamonweaver,Ola E.,3
redhotpenguin,Fred M.,3
kamelasa,Håkan K.,3
Grusglidaren,Jan O.,3
Pasciak,Kenneth P.,3
1977bjorn,Björn S.,3
hovang,Dan H.,3
joean407,Joel A.,3
jesos,Jens ,3
ccwarlock,ccw ,3
Chuckygang,John H.,3
larsdune,Lars ,3
laphroaig,ola b.,3
iraj,Iraj E.,3
Wooltown,Sven U.,3
tobiaspeterssonhome,Tobias P.,3
Ingemar76,Ingemar H.,3
Coi-l,Olof J.,3
frankandeweg,Frank A.,3
steffistraycat,Steffi S.,3
Thisbe,Steffi L.,3
Deeted,Patrick F.,3
_yakyak,Danimon ,3
DevinFiachra,Fiachra S.,3
biramira,Florian B.,3
elule,Uli ,3
Sc_Hulk,ScHulk ,3
thatoddbeerguy,Joscha R.,3
schrekelhuck,Anna F.,3
EinsSechsEins,Hans P.,3
Mattts,Mats J.,1
Gwootton,Georgie W.,3
dreamt12,Vladimir G.,3
BoysenM,Boysen M.,3
baduchan,Patryk S.,3
yungloosie,Martin O.,3
Scottro12,Scott G.,3
GuyT,Guy T.,3
Jashiu,Mr J.,3
beatontherat,Chiara Z.,3
BiraGezgini,Cemil Ozan S.,3
Uncle_Sweetheart,Johan B.,3
nick_wilde,Nick W.,3
Travlr,Travlr .,3
Annihilus,Sergei B.,3
heinzkeller,Heinz K.,3
toebel,Tobias L.,3
Mattts,Mats J.,1
simchristen,Simon ,3
TheFuben,Fabian D.,3
JunoJ,Rebecca J.,3
ABBDVD,Christopher S.,3
rriq,rriq ,3
BenjiRenji,Benjamin K.,3
marco_buraschi,Marco B.,3
heiterebrewer,Martin D.,3
rosenbergh,Jan O.,3
AndreaKennel,Andrea K.,3
Amselie,Amelie ,3
beerhunter60,Marcel V.,2
Reinecke,Beat M.,3
lagrotteria,Salvatore L.,3
dosch_,Dosch ,3
MaraP,Mara P.,3
chkn,c k.,3
danischnider,Dani S.,3
jandeman,Jan d.,3
tomthetank,Thomas S.,2
dutchjes,Jen S.,3
Mattts,Mats J.,1
jesus0815,Adi M.,3
czvuoi,Michele S.,3
Bridgery,Bridget U.,3
AssDepp,Anna en Stev A.,3
_mgb,Patrick ,3
rwaldner,Roger W.,3
Mattts,Mats J.,1
davidbengtsson,David B.,3
andersdq,Anders D.,3
Gunnarsson,Martin G.,3
bjnjohansson,Björn J.,3
TheOddPanda,Adrian B.,3
dragoul,Stefan H.,3
jlnslv,Julien ,3
lagrotteria,Salvatore L.,3
johnnyleoni,Daniel ,3
Darvida,Didi D.,3
Krush0r,S M.,3
schansche,Yann ,3
Adigro84,Adi G.,3
Issegoz,Isak E.,3
RonaldDijkstra,Ronald D.,3
Mattts,Mats J.,1
FooBee,FooBee (.,3
Lenaol,Lena O.,3
Joiski,Joshua H.,3
melii,Meli S.,3
madted,stephan ,3
diegomart,martin ,3
HannoverGlassware,Hannover G.,3
Mntraveler,MNTraveler ,3
YvoBS,Yvo W.,3
ufo666,Mateusz T.,3
Annihilus,Sergei B.,3
gregavola,Greg A.,3
CraftBeerCrowd,André -.,3
Duebir,duebir ,3
robs988,Robi S.,3
silentdan,daniel k.,3
tadahster,Christian J.,3
Issegoz,Isak E.,3
Hydroxytryptamin,Thomas S.,3
SimplyJJ,Jonathan J.,3
wytstriped,Finn S.,3
Temaki,Yared H.,3
Mattts,Mats J.,1
ABBDVD,Christopher S.,3
heiterebrewer,Martin D.,3
hakanssonlars,Lars H.,3
tellmebeer,Cihan ,2
joyceone,Joyceone ,3
youhadmeatdarkbeer,debbie s.,3
Cenosillicaphobie,Marco S.,3
dudebun,Peter R.,3
denisembennett,Girl Dennis ,3
Msgina,Gina J.,3
potions206,Peter Aagaard S.,3
Lurwin,Liam U.,3
Brewed_Culture,Brian A.,3
cadoo,mike c.,3
Korlanz,Oliver K.,3
gideydexter,Giles D.,3
Lambicwanker,Johnny H.,3
babyianpotpie,Ian ,3
DustilynnW,Dustilynn W.,3
dezlyles,Desmond L.,3
daren1225,Daren I.,3
H2P14,Derek S.,3
Flintquatch,Jacob D.,3
pmwolfe,Mike W.,3
jdot6,AJ B.,3
Nonicx,Chase D.,3
adamdixon,Adam D.,3
Freudthis,Mo J.,3
Taylorweinman,Taylor W.,3
aclecio,Jose M.,3
Craftbeergods,Anthony N.,3
Chronquistador,Jay B.,3
CAmerica78,Patrick N.,3
Facedrop,Jorge G.,3
craftbeer007sd,Mike L.,3
tjlawren,Tanya L.,3
parfus_brews,Scott M.,3
jdnasty,JD ,3
Ptrpaintman,Roy H.,3
nittanymonica,Monica D.,3
Across113thSt,B M.,3
tweichmann,Craig Trevor W.,3
neoworm,neal w.,3
xavierjj,Xavier J.,3
owenmaxwell,Owen D.,3
Mostreytom,Tom M.,3
eecipriano,Evan C.,3
thechrishouston,Dirty J.,3
eggya,Eggya C.,3
Mattts,Mats J.,1
TheWoman01,Catherine W.,3
dracunculus,Dave W.,3
hebrewshebrew,Jase ,3
Mortizia13,Mortizia13 ,3
tmcadam,Tom M.,3
derpyderp,Andrew ,3
Finskiface,Jackie ,3
c0axial,Paul S.,3
evetke2003,Kata K.,3
shortandhungry,Bhav ,3
sethbreaker,seth b.,3
BeerMeKl,Mewael K.,3
bwhitcher,Brandon W.,3
Rpritchard,Ron P.,3
Allisonjdh,Allison H.,3
ChampionsPrerogative,Steven ,3
matejh,matej h.,3
CatBr,Cat B.,3
CatherineScott9,Catherine S.,3
NeelaBiscuits,Elarna R.,3
xavierjj,Xavier J.,3
Ravie27,David N.,3
Neil_73,Neil P.,3
BrewKat,Kate H.,3
eecipriano,Evan C.,3
liamnicholson,Liam N.,3
Mattts,Mats J.,1
The_Bell,Bernat R.,3
p7r,Paul R.,3
eggya,Eggya C.,3
TheWoman01,Catherine W.,3
dracunculus,Dave W.,3
hebrewshebrew,Jase ,3
nikkiflanflan,Nikki F.,3
StarSenshi,Tracy L.,3
derpyderp,Andrew ,3
c0axial,Paul S.,3
Rushbeard,Chris ,3
Maddy_S,Madison S.,3
Finskiface,Jackie ,3
